month,pct,practice,bnf_name,items,actual_cost,quantity_per_item
2018-08-01,11X,L85053,Ramipril_Cap 1.25mg,1,17.4895,400
2019-01-01,11X,L85039,Levothyrox Sod_Tab 100mcg,1,11.71634,364
2019-01-01,11X,L85050,Levothyrox Sod_Tab 25mcg,1,43.17127,840
2019-01-01,11X,L85053,Ramipril_Cap 1.25mg,1,11.64928,400
2019-07-01,11X,L85013,Ramipril_Cap 2.5mg,1,10.93171,336
2019-07-01,11X,L85013,Ramipril_Cap 5mg,1,10.03933,336
2019-03-01,11X,L85050,Levothyrox Sod_Tab 25mcg,1,43.21354,840
2018-11-01,11X,L85053,Ramipril_Cap 1.25mg,1,14.02852,400
2019-04-01,11X,L85013,Ramipril_Cap 5mg,1,11.48351,336
2018-08-01,11X,L85050,Levothyrox Sod_Tab 25mcg,1,55.45937,840
2019-01-01,11X,L85039,Levothyrox Sod_Tab 75mcg,1,32.95236,364
2019-02-01,11X,L85036,Ramipril_Cap 2.5mg,1,10.47483,336
2019-07-01,11X,L85053,Ramipril_Cap 1.25mg,1,11.66692,400
2018-10-01,11X,L85036,Ramipril_Cap 2.5mg,1,13.47433,336
2019-05-01,11X,L85013,Ramipril_Cap 2.5mg,1,12.25828,336
2019-03-01,11X,L85053,Ramipril_Cap 1.25mg,1,11.66058,400
2018-12-01,11X,L85053,Ramipril_Cap 1.25mg,1,14.03512,400
2019-07-01,11X,L85040,Ramipril_Cap 5mg,1,10.05173,336
2018-10-01,11X,L85050,Levothyrox Sod_Tab 25mcg,1,52.62912,840
2019-05-01,11X,L85013,Ramipril_Cap 5mg,1,11.4782,336
2019-06-01,11X,L85053,Ramipril_Cap 1.25mg,1,13.52262,400
2018-11-01,11X,L85050,Levothyrox Sod_Tab 25mcg,1,47.3272,840
